UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
응가,@DdBssP,2021-09-10T23:43:35.000Z,"응가
@DdBssP
·
9월 11일","갤러리에 야옹이들이 가득해♡
마지막은 친구 고양이
10",,,,10,"['https://pbs.twimg.com/media/E-9iz2gWQAIeIEb?format=jpg&name=small', 'https://pbs.twimg.com/media/E-9i0SBXEAModXR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-9i06NX0AMliGU?format=jpg&name=360x360']",https://twitter.com/DdBssP/status/1436475470434996228
SLOW 와리와리 귀여운 후젤,@_u_Angel,2021-09-10T23:43:25.000Z,"SLOW 와리와리 귀여운 후젤
@_u_Angel
·
9월 11일","단발
안뚫음
안썻다
160
유
동생 언니
I
고양이상
다정
웃는 상

맞남..?
하마
@junjun990913
 · 9월 11일
학교 갔다 왔는데 누군가 해준다면 아주 사랑할것이얌..",,,,,"['https://pbs.twimg.com/profile_images/1416984138788179970/6cRNtPTv_mini.jpg', 'https://pbs.twimg.com/media/E-9iXvzVcAAr6X3?format=jpg&name=small']",https://twitter.com/_u_Angel/status/1436475428827320321
Diamonatemash,@diamonatemash,2021-09-10T23:42:55.000Z,"Diamonatemash
@diamonatemash
·
9월 11일",역시 좋구나... 동족 고양이.... 시간이 흘러도 그대로잖니....,,,,,[],https://twitter.com/diamonatemash/status/1436475304130727936
투잡으로 휴대폰 하나로 단기목돈 마련하실분,@d0MOmNJfXI7Iauz,2021-09-10T23:42:49.000Z,"투잡으로 휴대폰 하나로 단기목돈 마련하실분
@d0MOmNJfXI7Iauz
·
9월 11일","(주부 직장인 대학생 가능) 본계정문의
@yeon90216
강아지그램
어깨깡패
부산수영구
망상해수욕장
수업
불법알바
이태원 
좋아요테러 
고양이 
행복 
이태원 
건강 
반려묘 
댕댕이그램 
고양이 
좋아요",,,,,[],https://twitter.com/d0MOmNJfXI7Iauz/status/1436475280076337154
0,@Zero_2zero,2021-09-10T23:42:49.000Z,"0
@Zero_2zero
·
9월 11일","@Zero_2zero
 님과 
@chopu_cutie
 님에게 보내는 답글
어릴적엔 직모에 빼쪽 올라간 괭이상 눈꼬리 때문에 엄마 닮았다 소리 많이 듣는데 사실 둘다 눈꼬리가 올라가있는데 소영이쪽이 대놓고 고양이상이라 안이가 상대적으로 아닌 것처럼 보이는거지 떼어놓고보면 안이도 올라간 눈꼬리잖아요?
1",,1,,,[],https://twitter.com/Zero_2zero/status/1436475278574772224
다이너모,@add_dainumo_bot,2021-09-10T23:42:22.000Z,"다이너모
@add_dainumo_bot
·
9월 11일",* 고양이? 귀엽지... 주인이 좋아하냐고? 주인의 모자부분부터 살펴보는건 어때?,,,,,[],https://twitter.com/add_dainumo_bot/status/1436475163504091140
어린이,@child_____030,2021-09-10T23:41:25.000Z,"어린이
@child_____030
·
9월 11일","아무데서나 자는 노숙자 고양이 포착
1
10",🍼,1,,10,['https://pbs.twimg.com/media/E-9iU4eVQAYtk3x?format=jpg&name=small'],https://twitter.com/child_____030/status/1436474925137620995
太理,@Leader_TAEYI,2021-09-10T23:40:51.000Z,"太理
@Leader_TAEYI
·
9월 11일","고양이가 아침 햇살에 뒹굴거릴 계절이 돌아왔다
5",,,,5,"['https://pbs.twimg.com/media/E-9iMoPUYAA07o4?format=jpg&name=small', 'https://pbs.twimg.com/media/E-9iMoUUYAEwN8h?format=jpg&name=small']",https://twitter.com/Leader_TAEYI/status/1436474784259313664
SEKHMET,@____SEKHMET,2021-09-10T23:39:48.000Z,"SEKHMET
@____SEKHMET
·
9월 11일",여기. (상의 품 열어서 고양이 보여준다. 애. 하는 소리 남.),,,,,[],https://twitter.com/____SEKHMET/status/1436474520500592644
모무,@mo_mu30,2021-09-10T23:38:45.000Z,"모무
@mo_mu30
·
9월 11일",고양이들 미끄러지고(관절에 무리감) 놀이는 와중에 레이저놀이(스트레스)... 고양이 건강 + 아랫집 정신건강 다 헤치네 ㅋㅋ,,,,,[],https://twitter.com/mo_mu30/status/1436474254380331009
𝓛𝓲𝓷𝓾𝓷,@Emer_nox,2021-09-10T23:38:43.000Z,"𝓛𝓲𝓷𝓾𝓷
@Emer_nox
·
9월 11일",거의 10년째 고양이보다 더 나은 동물이 안 떠오르는데. 이제 포기할 때도 되지 않았어 레이? 너 빼고 모두가 고양이에 동의할걸?,,,,,[],https://twitter.com/Emer_nox/status/1436474248449593347
플래스틱 달코,@plastic_dalcho,2021-09-10T23:38:41.000Z,"플래스틱 달코
@plastic_dalcho
·
9월 11일","'나 오늘은 깨끗해! 예쁘게 씻었어! 꼬리도 발바닥도 깨끗해. 이것 봐, 나 예뻐?' 네가 좋아하는 고양이가 될거야. 세상에서 가장 애교 많지만 오직 너만을 위한 재롱둥이.",,,,,[],https://twitter.com/plastic_dalcho/status/1436474239310196738
{내 눈알에서 나와라.),@NANYA_s2_U,2021-09-10T23:38:34.000Z,"{내 눈알에서 나와라.)
@NANYA_s2_U
·
9월 11일",* (삐진 고양이 이모티콘),,,,,[],https://twitter.com/NANYA_s2_U/status/1436474207026618370
